focus_id,focus_name,reading_order,series,issue_number,display_name,run_status,collection_status,format,metadata_arc,story_title,part_label,metadata_status,owned_original_issue_count,owned_facsimile_count,ordered_not_arrived_count,readable_copy_count,still_want_original,source_tab,source_row,comic,notes
knightfall_to_knightsend,Knightfall to Knightsend,Knight054,Batman: Shadow of the Bat,18,Batman: Shadow of the Bat #18,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,74,Batman: Shadow of the Bat #18,
knightfall_to_knightsend,Knightfall to Knightsend,Knight055,Detective Comics,665,Detective Comics #665,owned,Yes,Original/Reprint Unknown,Knightfall,,,Review,0,0,0,0,Review,Batman,75,Detective Comics #665,
knightfall_to_knightsend,Knightfall to Knightsend,Knight056,Batman,499,Batman #499,owned,Yes,Original/Reprint Unknown,Knightfall,,,Review,0,0,0,0,Review,Batman,76,Batman #499,
knightfall_to_knightsend,Knightfall to Knightsend,Knight057,Detective Comics,666,Detective Comics #666,owned,Yes,Original/Reprint Unknown,Knightfall,,,Review,0,0,0,0,Review,Batman,77,Detective Comics #666,
knightfall_to_knightsend,Knightfall to Knightsend,Knight058,Batman,500,Batman #500,owned,Yes,Original/Reprint Unknown,Knightfall,,,Review,0,0,0,0,Review,Batman,78,Batman #500,
knightfall_to_knightsend,Knightfall to Knightsend,Knight061,Detective Comics,667,Detective Comics #667,owned,Yes,Original/Reprint Unknown,Knightquest,,,Review,0,0,0,0,Review,Batman,81,Detective Comics #667,
knightfall_to_knightsend,Knightfall to Knightsend,Knight062,Detective Comics,668,Detective Comics #668,owned,Yes,Original/Reprint Unknown,Knightquest,,,Review,0,0,0,0,Review,Batman,82,Detective Comics #668,
knightfall_to_knightsend,Knightfall to Knightsend,Knight063,Robin (Vol. 2),1,Robin (Vol. 2) #1,owned,Yes,Facsimile/Reprint?,,,,,0,0,0,0,Review,Batman,83,Robin (Vol. 2) #001,
knightfall_to_knightsend,Knightfall to Knightsend,Knight064,Robin (Vol. 2),2,Robin (Vol. 2) #2,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,84,Robin (Vol. 2) #002,
knightfall_to_knightsend,Knightfall to Knightsend,Knight065,Batman: Shadow of the Bat,19,Batman: Shadow of the Bat #19,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,85,Batman: Shadow of the Bat #19,
knightfall_to_knightsend,Knightfall to Knightsend,Knight066,Batman: Shadow of the Bat,20,Batman: Shadow of the Bat #20,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,86,Batman: Shadow of the Bat #20,
knightfall_to_knightsend,Knightfall to Knightsend,Knight067,Batman,501,Batman #501,owned,Yes,Original/Reprint Unknown,Knightquest,,,Review,0,0,0,0,Review,Batman,87,Batman #501,
knightfall_to_knightsend,Knightfall to Knightsend,Knight068,Batman,502,Batman #502,owned,Yes,Original/Reprint Unknown,Knightquest,,,Review,0,0,0,0,Review,Batman,88,Batman #502,
knightfall_to_knightsend,Knightfall to Knightsend,Knight069,Detective Comics,669,Detective Comics #669,owned,Yes,Original/Reprint Unknown,Knightquest,,,Review,0,0,0,0,Review,Batman,89,Detective Comics #669,
knightfall_to_knightsend,Knightfall to Knightsend,Knight070,Batman: Shadow of the Bat,21,Batman: Shadow of the Bat #21,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,90,Batman: Shadow of the Bat #21,
knightfall_to_knightsend,Knightfall to Knightsend,Knight071,Batman: Shadow of the Bat,22,Batman: Shadow of the Bat #22,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,91,Batman: Shadow of the Bat #22,
knightfall_to_knightsend,Knightfall to Knightsend,Knight072,Batman: Shadow of the Bat,23,Batman: Shadow of the Bat #23,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,92,Batman: Shadow of the Bat #23,
knightfall_to_knightsend,Knightfall to Knightsend,Knight073,Detective Comics,670,Detective Comics #670,owned,Yes,Original/Reprint Unknown,Knightquest,,,Review,0,0,0,0,Review,Batman,93,Detective Comics #670,
knightfall_to_knightsend,Knightfall to Knightsend,Knight074,Catwoman (Vol.2),6,Catwoman (Vol.2) #6,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,94,Catwoman (Vol.2) #06,
knightfall_to_knightsend,Knightfall to Knightsend,Knight075,Batman,503,Batman #503,owned,Yes,Original/Reprint Unknown,Knightquest,,,Review,0,0,0,0,Review,Batman,95,Batman #503,
knightfall_to_knightsend,Knightfall to Knightsend,Knight076,Batman,504,Batman #504,owned,Yes,Original/Reprint Unknown,Knightquest,,,Review,0,0,0,0,Review,Batman,96,Batman #504,
knightfall_to_knightsend,Knightfall to Knightsend,Knight077,Catwoman (Vol.2),7,Catwoman (Vol.2) #7,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,97,Catwoman (Vol.2) #07,
knightfall_to_knightsend,Knightfall to Knightsend,Knight078,Detective Comics,671,Detective Comics #671,owned,Yes,Original/Reprint Unknown,Knightquest,,,Review,0,0,0,0,Review,Batman,98,Detective Comics #671,
knightfall_to_knightsend,Knightfall to Knightsend,Knight079,Detective Comics,672,Detective Comics #672,owned,Yes,Original/Reprint Unknown,Knightquest,,,Review,0,0,0,0,Review,Batman,99,Detective Comics #672,
knightfall_to_knightsend,Knightfall to Knightsend,Knight080,Detective Comics,673,Detective Comics #673,owned,Yes,Original/Reprint Unknown,Knightquest,,,Review,0,0,0,0,Review,Batman,100,Detective Comics #673,
knightfall_to_knightsend,Knightfall to Knightsend,Knight081,Batman: Shadow of the Bat,24,Batman: Shadow of the Bat #24,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,101,Batman: Shadow of the Bat #24,
knightfall_to_knightsend,Knightfall to Knightsend,Knight082,Batman,505,Batman #505,owned,Yes,Original/Reprint Unknown,Knightquest,,,Review,0,0,0,0,Review,Batman,102,Batman #505,
knightfall_to_knightsend,Knightfall to Knightsend,Knight083,Batman: Shadow of the Bat,25,Batman: Shadow of the Bat #25,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,103,Batman: Shadow of the Bat #25,
knightfall_to_knightsend,Knightfall to Knightsend,Knight084,Batman,506,Batman #506,owned,Yes,Original/Reprint Unknown,Knightquest,,,Review,0,0,0,0,Review,Batman,104,Batman #506,
knightfall_to_knightsend,Knightfall to Knightsend,Knight085,Batman,507,Batman #507,owned,Yes,Original/Reprint Unknown,Knightquest,,,Review,0,0,0,0,Review,Batman,105,Batman #507,
knightfall_to_knightsend,Knightfall to Knightsend,Knight086,Batman: Legends of the Dark Knight,59,Batman: Legends of the Dark Knight #59,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,106,Batman: Legends of the Dark Knight #59,
knightfall_to_knightsend,Knightfall to Knightsend,Knight087,Batman: Legends of the Dark Knight,60,Batman: Legends of the Dark Knight #60,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,107,Batman: Legends of the Dark Knight #60,
knightfall_to_knightsend,Knightfall to Knightsend,Knight088,Batman: Legends of the Dark Knight,61,Batman: Legends of the Dark Knight #61,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,108,Batman: Legends of the Dark Knight #61,
