sequence,publication_year,cover_date,parent_series,series,issue_number,publication_id,known_in_reference_data,owned,ownership_status,edition_status,original_owned,facsimile_owned,owned_uncertain,readable_copy_count,ordered_not_arrived,readable_via_collection,story_event_item_membership,shopping_status,shopping_priority,source_url,confidence,notes
1995.020,1995,1995,Detective Comics,Detective Comics Annual,8,PUB-DET-ANN-0008,Yes,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,0,No,No,Year One annuals,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-DET-ANN-0008
1995.030,1995,1995,Batman: Legends of the Dark Knight,Batman: Legends of the Dark Knight Annual,5,PUB-LOTDK-ANN-0005,Yes,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,0,No,No,Year One annuals,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-LOTDK-ANN-0005
1995.040,1995,1995,Batman: Shadow of the Bat,Batman: Shadow of the Bat Annual,3,PUB-SOTB-ANN-0003,Yes,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,Yes,1,No,No,Year One annuals,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Collection sheet: Batman row 399; Annual publication reference: PUB-SOTB-ANN-0003
1995.050,1995,1995,Robin,Robin (Vol. 2) Annual,4,PUB-ROBIN-V2-ANN-0004,Yes,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,Yes,1,No,No,Year One annuals,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Collection sheet: Batman row 622; Annual publication reference: PUB-ROBIN-V2-ANN-0004
1995.060,1995,1995,Catwoman,Catwoman (Vol.2) Annual,2,PUB-CATWOMAN-V2-ANN-0002,Yes,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,Yes,1,No,No,Year One annuals,OWNED,,https://en.wikipedia.org/wiki/Catwoman,verified,Collection sheet: Batman row 412; Annual publication reference: PUB-CATWOMAN-V2-ANN-0002
1995.070,1995,1995,Azrael,Azrael Annual,1,PUB-AZRAEL-ANN-0001,Yes,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,0,No,No,Year One annuals,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-AZRAEL-ANN-0001
1996.010,1996,1996,Batman,Batman Annual,20,PUB-BAT-ANN-0020,Yes,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,0,No,No,Legends of the Dead Earth,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-BAT-ANN-0020
1996.020,1996,1996,Detective Comics,Detective Comics Annual,9,PUB-DET-ANN-0009,Yes,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,Yes,1,No,No,Legends of the Dead Earth,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Collection sheet: Batman row 589; Annual publication reference: PUB-DET-ANN-0009
1996.030,1996,1996,Batman: Legends of the Dark Knight,Batman: Legends of the Dark Knight Annual,6,PUB-LOTDK-ANN-0006,Yes,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,Yes,1,No,No,Legends of the Dead Earth,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Collection sheet: Batman row 397; Annual publication reference: PUB-LOTDK-ANN-0006
1996.040,1996,1996,Batman: Shadow of the Bat,Batman: Shadow of the Bat Annual,4,PUB-SOTB-ANN-0004,Yes,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,0,No,No,Legends of the Dead Earth,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-SOTB-ANN-0004
1996.050,1996,1996,Robin,Robin (Vol. 2) Annual,5,PUB-ROBIN-V2-ANN-0005,Yes,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,0,No,No,Legends of the Dead Earth,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-ROBIN-V2-ANN-0005
1996.060,1996,1996,Catwoman,Catwoman (Vol.2) Annual,3,PUB-CATWOMAN-V2-ANN-0003,Yes,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,Yes,1,No,No,Legends of the Dead Earth,OWNED,,https://en.wikipedia.org/wiki/Catwoman,verified,Collection sheet: Batman row 413; Annual publication reference: PUB-CATWOMAN-V2-ANN-0003
1996.070,1996,1996,Azrael,Azrael Annual,2,PUB-AZRAEL-ANN-0002,Yes,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,Yes,1,No,No,Legends of the Dead Earth,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Collection sheet: Batman row 168; Annual publication reference: PUB-AZRAEL-ANN-0002
1997.010,1997,1997,Batman,Batman Annual,21,PUB-BAT-ANN-0021,Yes,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,0,No,No,Pulp Heroes,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-BAT-ANN-0021
1997.020,1997,1997,Detective Comics,Detective Comics Annual,10,PUB-DET-ANN-0010,Yes,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,0,No,No,Pulp Heroes,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-DET-ANN-0010
1997.030,1997,1997,Batman: Legends of the Dark Knight,Batman: Legends of the Dark Knight Annual,7,PUB-LOTDK-ANN-0007,Yes,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,0,No,No,Pulp Heroes,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-LOTDK-ANN-0007
1997.040,1997,1997,Batman: Shadow of the Bat,Batman: Shadow of the Bat Annual,5,PUB-SOTB-ANN-0005,Yes,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,0,No,No,Pulp Heroes,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-SOTB-ANN-0005
1997.050,1997,1997,Robin,Robin (Vol. 2) Annual,6,PUB-ROBIN-V2-ANN-0006,Yes,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,0,No,No,Pulp Heroes,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-ROBIN-V2-ANN-0006
1997.060,1997,1997,Catwoman,Catwoman (Vol.2) Annual,4,PUB-CATWOMAN-V2-ANN-0004,Yes,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,Yes,1,No,No,Pulp Heroes,OWNED,,https://en.wikipedia.org/wiki/Catwoman,verified,Collection sheet: Batman row 414; Annual publication reference: PUB-CATWOMAN-V2-ANN-0004
1997.070,1997,1997,Azrael,Azrael Annual,3,PUB-AZRAEL-ANN-0003,Yes,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,0,No,No,Pulp Heroes,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-AZRAEL-ANN-0003
1997.080,1997,1997,Nightwing,Nightwing Annual,1,PUB-NIGHTWING-ANN-0001,Yes,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,0,No,No,Pulp Heroes,BUY,,https://en.wikipedia.org/wiki/List_of_DC_Comics_publications_%28K%E2%80%93O%29,verified,Annual publication reference: PUB-NIGHTWING-ANN-0001
1998.010,1998,1998,Batman,Batman Annual,22,PUB-BAT-ANN-0022,Yes,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,0,No,No,Ghosts,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-BAT-ANN-0022
1999.010,1999,1999,Batman,Batman Annual,23,PUB-BAT-ANN-0023,Yes,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,0,No,No,JLApe,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-BAT-ANN-0023
