event_id,event_name,reading_order,sequence,series,issue_number,role,priority,collecting_status,owned,ordered,owned_format,readable_via_collection,missing,optional_or_required,ownership_status,shopping_status,shopping_priority,matched_collection_rows,source_url,confidence,notes
bloodlines,Bloodlines,011,011,Action Comics Annual,5,earthplague,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Earthplague chapter.,https://en.wikipedia.org/wiki/Bloodlines_(comics),reference,Earthplague chapter.
bloodlines,Bloodlines,013,013,Green Arrow Annual,6,earthplague,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Earthplague chapter.,https://en.wikipedia.org/wiki/Bloodlines_(comics),reference,Earthplague chapter.
bloodlines,Bloodlines,017,017,Hawkman Annual,1,earthplague,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Earthplague chapter.,https://en.wikipedia.org/wiki/Bloodlines_(comics),reference,Earthplague chapter.
bloodlines,Bloodlines,018,018,"Deathstroke, the Terminator Annual",2,deathstorm,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Deathstorm chapter.,https://en.wikipedia.org/wiki/Bloodlines_(comics),reference,Deathstorm chapter.
bloodlines,Bloodlines,019,019,Eclipso Annual,1,deathstorm,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Deathstorm chapter.,https://en.wikipedia.org/wiki/Bloodlines_(comics),reference,Deathstorm chapter.
bloodlines,Bloodlines,020,020,Demon Annual,2,deathstorm,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Deathstorm chapter.,https://en.wikipedia.org/wiki/Bloodlines_(comics),reference,Deathstorm chapter.
bloodlines,Bloodlines,022,022,Team Titans Annual,1,deathstorm,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Deathstorm chapter.,https://en.wikipedia.org/wiki/Bloodlines_(comics),reference,Deathstorm chapter.
bloodlines,Bloodlines,023,023,L.E.G.I.O.N. '93 Annual,4,deathstorm,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Deathstorm chapter.,https://en.wikipedia.org/wiki/Bloodlines_(comics),reference,Deathstorm chapter.
bloodlines,Bloodlines,024,024,Bloodbath,1,finale,required,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,required,MISSING,BUY,,Bloodbath finale miniseries.,https://en.wikipedia.org/wiki/Bloodlines_(comics),reference,Bloodbath finale miniseries.
bloodlines,Bloodlines,025,025,Bloodbath,2,finale,required,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,required,MISSING,BUY,,Bloodbath finale miniseries.,https://en.wikipedia.org/wiki/Bloodlines_(comics),reference,Bloodbath finale miniseries.
