series,issue_number,display_name,run_id,run_status,missing_reason,metadata_arc,story_title,part_label,metadata_status,metadata_source,owned_original_issue_count,owned_facsimile_count,ordered_not_arrived_count,readable_copy_count,collection_coverage,still_want_original,wanted_reason,search_query,notes
Azrael,76,Azrael #76,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #76,
Azrael,77,Azrael #77,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #77,
Azrael,78,Azrael #78,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #78,
Azrael,79,Azrael #79,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #79,
Azrael,80,Azrael #80,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #80,
Azrael,81,Azrael #81,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #81,
Azrael,82,Azrael #82,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #82,
Azrael,83,Azrael #83,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #83,
Azrael,84,Azrael #84,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #84,
Azrael,85,Azrael #85,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #85,
Azrael,86,Azrael #86,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #86,
Azrael,87,Azrael #87,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #87,
Azrael,88,Azrael #88,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #88,
Azrael,89,Azrael #89,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #89,
Azrael,90,Azrael #90,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #90,
Azrael,91,Azrael #91,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #91,
Azrael,92,Azrael #92,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #92,
Azrael,93,Azrael #93,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #93,
Azrael,94,Azrael #94,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #94,
Azrael,95,Azrael #95,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #95,
Azrael,96,Azrael #96,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #96,
Azrael,97,Azrael #97,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #97,
Azrael,98,Azrael #98,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #98,
Azrael,99,Azrael #99,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #99,
Azrael,100,Azrael #100,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #100,
Azrael,1000000,Azrael #1000000,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #1000000,
Batman,408,Batman #408,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #408,
Batman,409,Batman #409,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #409,
Batman,412,Batman #412,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #412,
Batman,413,Batman #413,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #413,
Batman,415,Batman #415,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #415,
Batman,417,Batman #417,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #417,
Batman,418,Batman #418,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #418,
Batman,422,Batman #422,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #422,
Batman,423,Batman #423,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #423,
Batman,424,Batman #424,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #424,
Batman,425,Batman #425,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #425,
Batman,426,Batman #426,batman_404_574,not_owned,not_owned,A Death in the Family,,Part 1,confirmed,issue_metadata.csv,0,0,1,0,,Yes,not_owned,Batman #426,
Batman,427,Batman #427,batman_404_574,not_owned,not_owned,A Death in the Family,,Part 2,confirmed,issue_metadata.csv,0,0,1,0,,Yes,not_owned,Batman #427,
Batman,431,Batman #431,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #431,
Batman,440,Batman #440,batman_404_574,not_owned,not_owned,A Lonely Place of Dying,,Part 1,confirmed,issue_metadata.csv,0,0,0,0,Batman: A Lonely Place of Dying,Yes,"Readable via collected edition, but no owned individual issue is recorded.",Batman #440,A Lonely Place of Dying
Batman,442,Batman #442,batman_404_574,not_owned,not_owned,A Lonely Place of Dying,,Part 3,confirmed,issue_metadata.csv,0,0,0,0,Batman: A Lonely Place of Dying,Yes,"Readable via collected edition, but no owned individual issue is recorded.",Batman #442,A Lonely Place of Dying
Batman,444,Batman #444,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #444,
Batman,445,Batman #445,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #445,
Batman,450,Batman #450,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #450,
Batman,451,Batman #451,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #451,
Batman,453,Batman #453,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #453,
Batman,454,Batman #454,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #454,
Batman,463,Batman #463,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #463,
Batman,465,Batman #465,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #465,
Batman,475,Batman #475,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #475,
Batman,524,Batman #524,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #524,
Batman,536,Batman #536,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #536,
Batman,540,Batman #540,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #540,
Batman,546,Batman #546,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #546,
Batman,547,Batman #547,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #547,
Batman,550,Batman #550,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #550,
Batman,551,Batman #551,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #551,
Batman,552,Batman #552,batman_404_574,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman #552,
Batman,553,Batman #553,batman_404_574,absent_from_sheet,absent_from_sheet,Batman: Cataclysm,,core,confirmed,issue_metadata.csv,0,0,0,0,,Yes,absent_from_sheet,Batman #553,
Batman,554,Batman #554,batman_404_574,absent_from_sheet,absent_from_sheet,Batman: Cataclysm,,core,confirmed,issue_metadata.csv,0,0,0,0,,Yes,absent_from_sheet,Batman #554,
Batman,555,Batman #555,batman_404_574,absent_from_sheet,absent_from_sheet,Road to No Man's Land,,Volume 1,confirmed,issue_metadata.csv,0,0,0,0,,Yes,absent_from_sheet,Batman #555,
Batman,556,Batman #556,batman_404_574,absent_from_sheet,absent_from_sheet,Road to No Man's Land,,Volume 1,confirmed,issue_metadata.csv,0,0,0,0,,Yes,absent_from_sheet,Batman #556,
Batman,557,Batman #557,batman_404_574,absent_from_sheet,absent_from_sheet,Road to No Man's Land,,Volume 1,confirmed,issue_metadata.csv,0,0,0,0,,Yes,absent_from_sheet,Batman #557,
Batman,558,Batman #558,batman_404_574,absent_from_sheet,absent_from_sheet,Road to No Man's Land,,Volume 1,confirmed,issue_metadata.csv,0,0,0,0,,Yes,absent_from_sheet,Batman #558,
Batman,559,Batman #559,batman_404_574,absent_from_sheet,absent_from_sheet,Road to No Man's Land,,Volume 1,confirmed,issue_metadata.csv,0,0,0,0,,Yes,absent_from_sheet,Batman #559,
Batman,560,Batman #560,batman_404_574,absent_from_sheet,absent_from_sheet,Road to No Man's Land,,Volume 2,confirmed,issue_metadata.csv,0,0,0,0,,Yes,absent_from_sheet,Batman #560,
Batman,561,Batman #561,batman_404_574,absent_from_sheet,absent_from_sheet,Road to No Man's Land,,Volume 2,confirmed,issue_metadata.csv,0,0,0,0,,Yes,absent_from_sheet,Batman #561,
Batman,562,Batman #562,batman_404_574,absent_from_sheet,absent_from_sheet,Road to No Man's Land,,Volume 2,confirmed,issue_metadata.csv,0,0,0,0,,Yes,absent_from_sheet,Batman #562,
Batman,563,Batman #563,batman_404_574,absent_from_sheet,absent_from_sheet,Batman: No Man's Land,,Volume 1,confirmed,issue_metadata.csv,0,0,0,0,,Yes,absent_from_sheet,Batman #563,
Batman,564,Batman #564,batman_404_574,absent_from_sheet,absent_from_sheet,Batman: No Man's Land,,Volume 1,confirmed,issue_metadata.csv,0,0,0,0,,Yes,absent_from_sheet,Batman #564,
Batman,565,Batman #565,batman_404_574,absent_from_sheet,absent_from_sheet,Batman: No Man's Land,,Volume 1,confirmed,issue_metadata.csv,0,0,0,0,,Yes,absent_from_sheet,Batman #565,
Batman,566,Batman #566,batman_404_574,absent_from_sheet,absent_from_sheet,Batman: No Man's Land,,Volume 1,confirmed,issue_metadata.csv,0,0,0,0,,Yes,absent_from_sheet,Batman #566,
Batman,567,Batman #567,batman_404_574,absent_from_sheet,absent_from_sheet,Batman: No Man's Land,,Volume 2,confirmed,issue_metadata.csv,0,0,0,0,,Yes,absent_from_sheet,Batman #567,
Batman,568,Batman #568,batman_404_574,absent_from_sheet,absent_from_sheet,Batman: No Man's Land,,Volume 2,confirmed,issue_metadata.csv,0,0,0,0,,Yes,absent_from_sheet,Batman #568,
Batman,569,Batman #569,batman_404_574,absent_from_sheet,absent_from_sheet,Batman: No Man's Land,,Volume 3,confirmed,issue_metadata.csv,0,0,0,0,,Yes,absent_from_sheet,Batman #569,
Batman,570,Batman #570,batman_404_574,absent_from_sheet,absent_from_sheet,Batman: No Man's Land,,Volume 3,confirmed,issue_metadata.csv,0,0,0,0,,Yes,absent_from_sheet,Batman #570,
Batman,571,Batman #571,batman_404_574,absent_from_sheet,absent_from_sheet,Batman: No Man's Land,,Volume 3,confirmed,issue_metadata.csv,0,0,0,0,,Yes,absent_from_sheet,Batman #571,
Batman,572,Batman #572,batman_404_574,absent_from_sheet,absent_from_sheet,Batman: No Man's Land,,Volume 4,confirmed,issue_metadata.csv,0,0,0,0,,Yes,absent_from_sheet,Batman #572,
Batman,573,Batman #573,batman_404_574,absent_from_sheet,absent_from_sheet,Batman: No Man's Land,,Volume 4,confirmed,issue_metadata.csv,0,0,0,0,,Yes,absent_from_sheet,Batman #573,
Batman,574,Batman #574,batman_404_574,absent_from_sheet,absent_from_sheet,Batman: No Man's Land,,Volume 4,confirmed,issue_metadata.csv,0,0,0,0,,Yes,absent_from_sheet,Batman #574,
Batman and The Outsiders,17,Batman and The Outsiders #17,batman_and_the_outsiders_1_32,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman and The Outsiders #17,
Batman and The Outsiders,18,Batman and The Outsiders #18,batman_and_the_outsiders_1_32,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman and The Outsiders #18,
Batman and The Outsiders,19,Batman and The Outsiders #19,batman_and_the_outsiders_1_32,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman and The Outsiders #19,
Batman and The Outsiders,20,Batman and The Outsiders #20,batman_and_the_outsiders_1_32,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman and The Outsiders #20,
Batman and The Outsiders,21,Batman and The Outsiders #21,batman_and_the_outsiders_1_32,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman and The Outsiders #21,
Batman and The Outsiders,22,Batman and The Outsiders #22,batman_and_the_outsiders_1_32,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman and The Outsiders #22,
Batman and The Outsiders,23,Batman and The Outsiders #23,batman_and_the_outsiders_1_32,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman and The Outsiders #23,
Batman and The Outsiders,24,Batman and The Outsiders #24,batman_and_the_outsiders_1_32,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman and The Outsiders #24,
Batman and The Outsiders,25,Batman and The Outsiders #25,batman_and_the_outsiders_1_32,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman and The Outsiders #25,
Batman and The Outsiders,26,Batman and The Outsiders #26,batman_and_the_outsiders_1_32,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman and The Outsiders #26,
Batman and The Outsiders,27,Batman and The Outsiders #27,batman_and_the_outsiders_1_32,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman and The Outsiders #27,
Batman and The Outsiders,28,Batman and The Outsiders #28,batman_and_the_outsiders_1_32,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman and The Outsiders #28,
Batman and The Outsiders,30,Batman and The Outsiders #30,batman_and_the_outsiders_1_32,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman and The Outsiders #30,
Batman and The Outsiders,31,Batman and The Outsiders #31,batman_and_the_outsiders_1_32,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman and The Outsiders #31,
Batman Chronicles,1,Batman Chronicles #1,batman_chronicles_1_23,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman Chronicles #1,
Batman Chronicles,2,Batman Chronicles #2,batman_chronicles_1_23,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman Chronicles #2,
Batman Chronicles,3,Batman Chronicles #3,batman_chronicles_1_23,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman Chronicles #3,
Batman Chronicles,4,Batman Chronicles #4,batman_chronicles_1_23,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman Chronicles #4,
Batman Chronicles,5,Batman Chronicles #5,batman_chronicles_1_23,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Batman Chronicles #5,
