title,run_id,issue_number,run_status,collection_status,format,story,metadata_arc,story_title,part_label,metadata_role,metadata_notes,metadata_source_url,metadata_status,metadata_source,reading_order,source_tab,source_row,comic,notes
Batman,batman_404_574,477,owned,Yes,Original/Reprint Unknown,A Gotham Tale,A Gotham Tale,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,ZZ,Batman,274,Batman #477,
Batman,batman_404_574,478,owned,Yes,Original/Reprint Unknown,A Gotham Tale,A Gotham Tale,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,ZZ,Batman,275,Batman #478,
Batman,batman_404_574,479,owned,Yes,Original/Reprint Unknown,Pagan,Pagan,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,ZZ,Batman,276,Batman #479,
Batman,batman_404_574,480,owned,Yes,Original/Reprint Unknown,To The Father I Never Knew...,To The Father I Never Knew...,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,ZZ,Batman,277,Batman #480,
Batman,batman_404_574,481,owned,Yes,Original/Reprint Unknown,Zeus,Zeus,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,ZZ,Batman,278,Batman #481,
Batman,batman_404_574,482,owned,Yes,Original/Reprint Unknown,Zeus,Zeus,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,ZZ,Batman,279,Batman #482,
Batman,batman_404_574,483,owned,Yes,Original/Reprint Unknown,Crash And Burn,Crash And Burn,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,ZZ,Batman,280,Batman #483,
Batman,batman_404_574,484,owned,Yes,Original/Reprint Unknown,Knightfall,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight023,Batman,43,Batman #484,
Batman,batman_404_574,485,owned,Yes,Original/Reprint Unknown,Knightfall,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight024,Batman,44,Batman #485,
Batman,batman_404_574,486,owned,Yes,Original/Reprint Unknown,Knightfall,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight025,Batman,45,Batman #486,
Batman,batman_404_574,487,owned,Yes,Original/Reprint Unknown,Knightfall,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight026,Batman,46,Batman #487,
Batman,batman_404_574,488,owned,Yes,Original/Reprint Unknown,Knightfall,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight030,Batman,50,Batman #488,
Batman,batman_404_574,489,owned,Yes,Original/Reprint Unknown,Knightfall,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight033,Batman,53,Batman #489,
Batman,batman_404_574,490,owned,Yes,Original/Reprint Unknown,Knightfall,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight034,Batman,54,Batman #490,
