title,run_id,issue_number,run_status,collection_status,story,comic
Warhammer Monthly,warhammer_monthly_0_86,24,owned,Yes,,Warhammer Monthly #24
Warhammer Monthly,warhammer_monthly_0_86,25,owned,Yes,,Warhammer Monthly #25
Warhammer Monthly,warhammer_monthly_0_86,26,owned,Yes,,Warhammer Monthly #26
Warhammer Monthly,warhammer_monthly_0_86,27,owned,Yes,,Warhammer Monthly #27
Warhammer Monthly,warhammer_monthly_0_86,28,owned,Yes,,Warhammer Monthly #28
Warhammer Monthly,warhammer_monthly_0_86,29,owned,Yes,,Warhammer Monthly #29
Warhammer Monthly,warhammer_monthly_0_86,30,owned,Yes,,Warhammer Monthly #30
Warhammer Monthly,warhammer_monthly_0_86,31,owned,Yes,,Warhammer Monthly #31
Warhammer Monthly,warhammer_monthly_0_86,32,owned,Yes,,Warhammer Monthly #32
Warhammer Monthly,warhammer_monthly_0_86,33,owned,Yes,,Warhammer Monthly #33
Warhammer Monthly,warhammer_monthly_0_86,34,owned,Yes,,Warhammer Monthly #34
Warhammer Monthly,warhammer_monthly_0_86,35,owned,Yes,,Warhammer Monthly #35
Warhammer Monthly,warhammer_monthly_0_86,36,owned,Yes,,Warhammer Monthly #36
Warhammer Monthly,warhammer_monthly_0_86,37,owned,Yes,,Warhammer Monthly #37
Warhammer Monthly,warhammer_monthly_0_86,38,owned,Yes,,Warhammer Monthly #38
Warhammer Monthly,warhammer_monthly_0_86,39,owned,Yes,,Warhammer Monthly #39
Warhammer Monthly,warhammer_monthly_0_86,40,owned,Yes,,Warhammer Monthly #40
Warhammer Monthly,warhammer_monthly_0_86,41,owned,Yes,,Warhammer Monthly #41
Warhammer Monthly,warhammer_monthly_0_86,42,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,43,owned,Yes,,Warhammer Monthly #43
Warhammer Monthly,warhammer_monthly_0_86,44,owned,Yes,,Warhammer Monthly #44
Warhammer Monthly,warhammer_monthly_0_86,45,owned,Yes,,Warhammer Monthly #45
Warhammer Monthly,warhammer_monthly_0_86,46,owned,Yes,,Warhammer Monthly #46
Warhammer Monthly,warhammer_monthly_0_86,47,owned,Yes,,Warhammer Monthly #47
Warhammer Monthly,warhammer_monthly_0_86,48,owned,Yes,,Warhammer Monthly #48
Warhammer Monthly,warhammer_monthly_0_86,49,owned,Yes,,Warhammer Monthly #49
Warhammer Monthly,warhammer_monthly_0_86,50,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,51,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,52,owned,Yes,,Warhammer Monthly #52
Warhammer Monthly,warhammer_monthly_0_86,53,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,54,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,55,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,56,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,57,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,58,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,59,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,60,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,61,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,62,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,63,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,64,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,65,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,66,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,67,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,68,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,69,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,70,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,71,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,72,absent_from_sheet,,,
