view_id,view_name,publication_id,display_title,series,issue_number,story_or_arc,scope,ownership_status,cover_status,has_source_url,image_source_url,local_image_path,research_priority,notes
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,VIEW-batman-legends-of-the-dark-knight-9,Batman: Legends of the Dark Knight #9,Batman: Legends of the Dark Knight,9,Gothic,legends_dark_knight_1_214,Original,not_in_manifest,No,,,1 owned_missing_source,
shadow_of_the_bat,Batman: Shadow of the Bat,VIEW-batman-shadow-of-the-bat-31,Batman: Shadow of the Bat #31,Batman: Shadow of the Bat,31,Zero Hour,shadow_of_the_bat_1_94,Original,not_in_manifest,No,,,1 owned_missing_source,
shadow_of_the_bat,Batman: Shadow of the Bat,VIEW-batman-shadow-of-the-bat-36,Batman: Shadow of the Bat #36,Batman: Shadow of the Bat,36,TBC,shadow_of_the_bat_1_94,Original,not_in_manifest,No,,,1 owned_missing_source,
shadow_of_the_bat,Batman: Shadow of the Bat,VIEW-batman-shadow-of-the-bat-53,Batman: Shadow of the Bat #53,Batman: Shadow of the Bat,53,Legacy,shadow_of_the_bat_1_94,Missing,not_in_manifest,No,,,3 story_missing_source,
shadow_of_the_bat,Batman: Shadow of the Bat,VIEW-batman-shadow-of-the-bat-54,Batman: Shadow of the Bat #54,Batman: Shadow of the Bat,54,Legacy,shadow_of_the_bat_1_94,Missing,not_in_manifest,No,,,3 story_missing_source,
batman_400_499,Batman #400-499,VIEW-batman-400,Batman #400,Batman,400,Unmapped story,OPPORTUNISTIC,Missing,not_in_manifest,No,,,4 missing_source,Older Batman issues are opportunistic purchases when not already owned or ordered.
batman_400_499,Batman #400-499,VIEW-batman-401,Batman #401,Batman,401,Unmapped story,OPPORTUNISTIC,Missing,not_in_manifest,No,,,4 missing_source,Older Batman issues are opportunistic purchases when not already owned or ordered.
batman_400_499,Batman #400-499,VIEW-batman-402,Batman #402,Batman,402,Unmapped story,OPPORTUNISTIC,Missing,not_in_manifest,No,,,4 missing_source,Older Batman issues are opportunistic purchases when not already owned or ordered.
batman_400_499,Batman #400-499,VIEW-batman-403,Batman #403,Batman,403,Unmapped story,OPPORTUNISTIC,Missing,not_in_manifest,No,,,4 missing_source,Older Batman issues are opportunistic purchases when not already owned or ordered.
batman_400_499,Batman #400-499,VIEW-batman-408,Batman #408,Batman,408,Unmapped story,COMPLETE_RUN,Missing,not_in_manifest,No,,,4 missing_source,Core configured Batman collecting era. | Appears in the consolidated wantlist. | Fills a small local gap in an owned run. | Nearby ownership context: inside a small missing gap.
batman_400_499,Batman #400-499,VIEW-batman-409,Batman #409,Batman,409,Unmapped story,COMPLETE_RUN,Missing,not_in_manifest,No,,,4 missing_source,Core configured Batman collecting era. | Appears in the consolidated wantlist. | Fills a small local gap in an owned run. | Nearby ownership context: inside a small missing gap.
batman_400_499,Batman #400-499,VIEW-batman-412,Batman #412,Batman,412,Unmapped story,COMPLETE_RUN,Missing,not_in_manifest,No,,,4 missing_source,Core configured Batman collecting era. | Appears in the consolidated wantlist. | Fills a small local gap in an owned run. | Nearby ownership context: inside a small missing gap.
batman_400_499,Batman #400-499,VIEW-batman-413,Batman #413,Batman,413,Unmapped story,COMPLETE_RUN,Missing,not_in_manifest,No,,,4 missing_source,Core configured Batman collecting era. | Appears in the consolidated wantlist. | Fills a small local gap in an owned run. | Nearby ownership context: inside a small missing gap.
batman_400_499,Batman #400-499,VIEW-batman-415,Batman #415,Batman,415,Unmapped story,COMPLETE_RUN,Missing,not_in_manifest,No,,,4 missing_source,Core configured Batman collecting era. | Appears in the consolidated wantlist. | Fills a one-issue gap between owned issues. | Nearby ownership context: fills a one-issue gap.
batman_400_499,Batman #400-499,VIEW-batman-417,Batman #417,Batman,417,Unmapped story,COMPLETE_RUN,Missing,not_in_manifest,No,,,4 missing_source,Core configured Batman collecting era. | Appears in the consolidated wantlist. | Fills a small local gap in an owned run. | Nearby ownership context: inside a small missing gap.
batman_400_499,Batman #400-499,VIEW-batman-418,Batman #418,Batman,418,Unmapped story,COMPLETE_RUN,Missing,not_in_manifest,No,,,4 missing_source,Core configured Batman collecting era. | Appears in the consolidated wantlist. | Fills a small local gap in an owned run. | Nearby ownership context: inside a small missing gap.
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,VIEW-batman-legends-of-the-dark-knight-100,Batman: Legends of the Dark Knight #100,Batman: Legends of the Dark Knight,100,Unmapped story,legends_dark_knight_1_214,Missing,not_in_manifest,No,,,4 missing_source,
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,VIEW-batman-legends-of-the-dark-knight-101,Batman: Legends of the Dark Knight #101,Batman: Legends of the Dark Knight,101,Unmapped story,legends_dark_knight_1_214,Missing,not_in_manifest,No,,,4 missing_source,
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,VIEW-batman-legends-of-the-dark-knight-102,Batman: Legends of the Dark Knight #102,Batman: Legends of the Dark Knight,102,Unmapped story,legends_dark_knight_1_214,Missing,not_in_manifest,No,,,4 missing_source,
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,VIEW-batman-legends-of-the-dark-knight-103,Batman: Legends of the Dark Knight #103,Batman: Legends of the Dark Knight,103,Unmapped story,legends_dark_knight_1_214,Missing,not_in_manifest,No,,,4 missing_source,
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,VIEW-batman-legends-of-the-dark-knight-104,Batman: Legends of the Dark Knight #104,Batman: Legends of the Dark Knight,104,Unmapped story,legends_dark_knight_1_214,Missing,not_in_manifest,No,,,4 missing_source,
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,VIEW-batman-legends-of-the-dark-knight-105,Batman: Legends of the Dark Knight #105,Batman: Legends of the Dark Knight,105,Unmapped story,legends_dark_knight_1_214,Missing,not_in_manifest,No,,,4 missing_source,
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,VIEW-batman-legends-of-the-dark-knight-106,Batman: Legends of the Dark Knight #106,Batman: Legends of the Dark Knight,106,Unmapped story,legends_dark_knight_1_214,Missing,not_in_manifest,No,,,4 missing_source,
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,VIEW-batman-legends-of-the-dark-knight-107,Batman: Legends of the Dark Knight #107,Batman: Legends of the Dark Knight,107,Unmapped story,legends_dark_knight_1_214,Missing,not_in_manifest,No,,,4 missing_source,
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,VIEW-batman-legends-of-the-dark-knight-108,Batman: Legends of the Dark Knight #108,Batman: Legends of the Dark Knight,108,Unmapped story,legends_dark_knight_1_214,Missing,not_in_manifest,No,,,4 missing_source,
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,VIEW-batman-legends-of-the-dark-knight-109,Batman: Legends of the Dark Knight #109,Batman: Legends of the Dark Knight,109,Unmapped story,legends_dark_knight_1_214,Missing,not_in_manifest,No,,,4 missing_source,
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,VIEW-batman-legends-of-the-dark-knight-110,Batman: Legends of the Dark Knight #110,Batman: Legends of the Dark Knight,110,Unmapped story,legends_dark_knight_1_214,Missing,not_in_manifest,No,,,4 missing_source,
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,VIEW-batman-legends-of-the-dark-knight-111,Batman: Legends of the Dark Knight #111,Batman: Legends of the Dark Knight,111,Unmapped story,legends_dark_knight_1_214,Missing,not_in_manifest,No,,,4 missing_source,
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,VIEW-batman-legends-of-the-dark-knight-112,Batman: Legends of the Dark Knight #112,Batman: Legends of the Dark Knight,112,Unmapped story,legends_dark_knight_1_214,Missing,not_in_manifest,No,,,4 missing_source,
